,Modelo do carro,Preco ($),Ano,Milhas percorridas
0,Ford Bronco,48.589,2023,1.658
1,Hyundai Elantra,12.589,2019,73.608
2,Toyota Corolla,19.999,2022,12.574
3,Chevrolet Silverado 1500,20.378,2019,207.382
4,Chevrolet Malibu,18.99,2021,67.453
5,Lincoln MKT,24.8,2019,46.646
6,Ford F-150,35.998,2021,37.641
7,Ford F-150,30.99,2019,48.658
8,Ford Explorer,22.7,2020,91.344
9,Ford F-150,36.998,2021,42.959
10,Chevrolet Silverado 1500,32.99,2019,71.478
11,Ford Explorer,30.998,2021,28.348
12,Ford F-150,37.998,2018,80.423
13,Ford F-150,33.998,2021,59.013
14,Ford F-150,40.998,2021,20.729
15,Chevrolet Malibu,19.998,2022,37.018
16,Ford F-150,45.998,2023,18.064
17,GMC Sierra 1500,37.99,2020,84.881
18,Hyundai Kona,16.99,2020,58.003
19,Chevrolet Malibu,19.998,2022,42.281
20,Ford Transit Cargo Van,32.85,2020,51.553
21,Jeep Grand Cherokee,15.99,2015,96.477
22,Ford F-150,36.998,2021,36.836
23,Mitsubishi Outlander,25.99,2020,47.917
24,Ram 1500,42.998,2021,31.144
25,Chevrolet Malibu,20.998,2022,34.201
26,Ford Fusion,19.998,2020,29.734
27,Chevrolet Malibu,22.998,2022,37.351
28,Ford F-150,28.998,2018,62.433
29,Ford F-150,42.998,2021,49.018
30,Ram 1500,36.998,2020,29.701
31,Ram 1500,36.998,2021,27.64
32,Ford F-150,32.895,2019,81.567
